id;paymenttrans_id;transaction_type;transaction_ref;amount;channel;currency;source_account;source_account_bank_code;source_account_name;source_narration;destination_account;destination_account_bank_code;destination_account_name;destination_narration
1;33786;BANK_ACCOUNT_TRANSFER;digital Unbranded Steel Chair;80935;Organized;Avenue THX Marketing;applications;Computers protocol copy;Hawaii withdrawal Planner;Frozen pink;Avon Accounts;Cotton;synthesize Incredible Baht;parse COM
2;77800;REQUEST_FUND;applications;93089;compress Fantastic Washington;bypassing workforce;product;optical Licensed;Small Fresh Computer Street;primary olive;navigate;North Dakota EXE Focused;intangible ROI;invoice
3;1528;REQUEST_FUND;Rubber revolutionary;81242;Implementation technologies copying;Unbranded Wooden Shoes;Fish;Visionary;Generic invoice;Awesome Wooden Shoes Web yellow;Sausages;transmitter;ROI monitor Drive;feed Unbranded Cotton Chicken payment
4;63338;BANK_ACCOUNT_TRANSFER;experiences Garden Small;80797;Square streamline;visualize Tuna holistic;synthesize;deposit Ergonomic Fresh Shirt Guam;Bermudian Dollar (customarily known as Bermuda Dollar);Cheese;Central African Republic compress Lebanon;Director;deposit;artificial intelligence Handmade Motorway
5;31361;WALLET_TO_WALLET_TRANSFER;Regional Metal;73725;Cook Islands exuding withdrawal;Dobra Identity Mississippi;indexing compress Throughway;Grenada SAS;Innovative parsing synthesize;Lakes;neural e-tailers mission-critical;Chief Investor;bypass;technologies
6;58187;BANK_ACCOUNT_TRANSFER;Upgradable;54735;Pula cross-media frictionless;Regional calculate;synergize Checking Account;Pants Djibouti Franc primary;quantifying;artificial intelligence;channels best-of-breed alarm;multi-byte;Savings Account;hacking Island Avon
7;57515;WALLET_TO_WALLET_TRANSFER;transition Port Oklahoma;70452;Outdoors;payment;Mayotte attitude-oriented application;purple Paradigm haptic;microchip;panel solid state;CSS;Accounts;Central;application primary withdrawal
8;39834;REQUEST_FUND;connect;84205;cultivate auxiliary Designer;Credit Card Account Ameliorated Investment Account;Dynamic Chief implement;Licensed;Turkey Tasty Rubber Sausages;backing up;virtual firmware;Montserrat;Fish;open-source port Handcrafted Wooden Chicken
9;43037;REQUEST_FUND;Gorgeous Frozen Mouse;89152;Brazilian Real Soft;mission-critical Florida;hacking;Computers;Brand Toys;revolutionize Money Market Account;connecting systemic monitor;firewall one-to-one navigate;transmit Sudan;Incredible e-enable Refined Wooden Towels
10;87357;REQUEST_FUND;Washington Drive GB;82937;data-warehouse;attitude-oriented Mexico Branding;deposit implementation;leading edge;methodologies;strategic;Som;systems Incredible Metal Hat Money Market Account;Micronesia;Books Zimbabwe functionalities
